ORDER_CRN,EOD_DATE,VENDOR,ORDER_SOURCE,SOURCE,BRAND_NAME,BRAND_CODE,CITY,STORE_CODE,STORE_NAME,ORDER_STATUS,PRODUCT_STATUS,ORDER_LINE_CODE,PRODUCT_DETAIL_CODE,PRODUCT_NAME,PRODUCT_CODE,KITCHEN_DESCRIPTION,ITEM_PRICE,PORTION_UNIT,CONVERSION_VALUE,INVENTORY_ITEM_ID,INVENTORY_ITEM_CODE,INVENTORY_NAME,QTY,INVENTORY_ITEM_PRICE,INVENTORY_ITEM_BASIC_PRICE,IDEALS,IDEAL_WACC,COUNT,PROD_QUANTITY,STATE,Area Manager,Zonal Manager
SYN1000000000,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST204,Store_024,DELIVERED,routed,SUB2000000000,PRD719176,Product_003,PRD719176,Burger Classic,162.17,EACH,1.0,9001,INV1520,Inventory_028,13.77,5.25,5.13,7.15,4.45,11,10,SyntheticState,AreaManager_04,ZonalManager_05
SYN1000000001,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST925,Store_025,DELIVERED,routed,SUB2000000001,PRD543143,Product_023,PRD543143,Burger Classic,166.67,EACH,1.0,9002,INV5552,Inventory_022,11.92,25.06,20.18,9.7,18.34,11,14,SyntheticState,AreaManager_02,ZonalManager_03
SYN1000000002,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Pune,ST227,Store_018,DELIVERED,routed,SUB2000000002,PRD678856,Product_003,PRD678856,Fries Loaded,151.31,EACH,1.0,9003,INV6925,Inventory_019,25.86,0.22,0.16,19.12,0.17,22,21,SyntheticState,AreaManager_05,ZonalManager_01
SYN1000000003,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST473,Store_027,DELIVERED,routed,SUB2000000003,PRD472528,Product_012,PRD472528,Burger Classic,186.23,EACH,1.0,9001,INV5374,Inventory_014,19.48,5.89,4.59,15.86,5.25,14,14,SyntheticState,AreaManager_04,ZonalManager_02
SYN1000000004,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Bengaluru,ST801,Store_008,DELIVERED,routed,SUB2000000004,PRD913694,Product_025,PRD913694,Burger Classic,190.52,EACH,1.0,9002,INV4752,Inventory_004,15.35,24.23,20.51,11.21,18.2,18,16,SyntheticState,AreaManager_06,ZonalManager_02
SYN1000000005,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST242,Store_009,DELIVERED,routed,SUB2000000005,PRD688637,Product_024,PRD688637,Wrap Spicy,177.35,EACH,1.0,9004,INV5304,Inventory_035,11.59,7.05,6.8,10.31,6.4,12,10,SyntheticState,AreaManager_03,ZonalManager_05
SYN1000000006,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Pune,ST911,Store_006,DELIVERED,routed,SUB2000000006,PRD166613,Product_020,PRD166613,Fries Loaded,151.86,EACH,1.0,9003,INV7252,Inventory_025,23.0,0.2,0.17,21.92,0.19,25,18,SyntheticState,AreaManager_01,ZonalManager_01
SYN1000000007,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Pune,ST400,Store_004,DELIVERED,routed,SUB2000000007,PRD575763,Product_006,PRD575763,Burger Veg,174.01,EACH,1.0,9001,INV5315,Inventory_001,12.95,6.0,5.13,12.27,4.56,10,11,SyntheticState,AreaManager_05,ZonalManager_05
SYN1000000008,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST643,Store_025,DELIVERED,routed,SUB2000000008,PRD439902,Product_020,PRD439902,Burger Veg,146.66,EACH,1.0,9005,INV1319,Inventory_032,12.39,17.83,18.91,9.5,17.88,12,11,SyntheticState,AreaManager_04,ZonalManager_01
SYN1000000009,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST170,Store_027,DELIVERED,routed,SUB2000000009,PRD231869,Product_025,PRD231869,Burger Classic,195.0,EACH,1.0,9001,INV8787,Inventory_009,15.63,5.18,5.16,14.57,5.21,15,19,SyntheticState,AreaManager_04,ZonalManager_05
